,id,date,time,tweet,link,retweet,Day,Month,Year
0,1304025149101019138,2020-09-10,11:53:17,"Wow. 'the least we can do is let them have a f***ing slogan', how utterly patronising @LozzaFox",https://twitter.com/John__Tennant/status/1304025149101019138,False,10,9,2020
1,1304024403102044160,2020-09-10,11:50:19,Interesting stuff @LozzaFox his most explosive interview yet! https://twitter.com/Unlocked_UK_/status/1304020085535920130 …,https://twitter.com/John__Tennant/status/1304024403102044160,False,10,9,2020
2,1303003484804046851,2020-09-07,16:13:34, https://mobile.twitter.com/georgeperetzqc/status/1302948198265294849?s=12 …,https://twitter.com/John__Tennant/status/1303003484804046851,False,7,9,2020
3,1302719405265219586,2020-09-06,21:24:44,Interesting....,https://twitter.com/John__Tennant/status/1302719405265219586,False,6,9,2020
4,1289273126157578240,2020-07-31,18:54:01,Huge congratulations to my brilliant friend @Fox_Claire an excellent advocate of free speech and new ideas. It was a pleasure to be a colleague in the European Parliament and I know she'll deliver good work as a member of the House of Lords. Richly deserved.,https://twitter.com/John__Tennant/status/1289273126157578240,False,31,7,2020
5,1289214232324530176,2020-07-31,15:00:00,Sage words @Peter_Shilton https://twitter.com/Peter_Shilton/status/1289131680062672902 …,https://twitter.com/John__Tennant/status/1289214232324530176,False,31,7,2020
6,1286989102643130370,2020-07-25,11:38:07,"Share on Twitter  https://www.express.co.uk/news/politics/1314110/Brexit-news-stuart-wheeler-tribute-nigel-farage-dan-hannan …

What a man, what a life, what a fantastic contribution to the fight for our independence. Rest in peace Stuart Wheeler.",https://twitter.com/John__Tennant/status/1286989102643130370,False,25,7,2020
7,1270416098786189319,2020-06-09,18:02:55,"Little Britain removed from BBC iPlayer, Netflix and BritBox due to use of blackface  https://www.theguardian.com/tv-and-radio/2020/jun/09/little-britain-removed-from-bbc-iplayer-netflix-and-britbox-blackface …

This is futile, what next? Blackadder?",https://twitter.com/John__Tennant/status/1270416098786189319,False,9,6,2020
8,1269969270932484097,2020-06-08,12:27:23,"If the authorities won't protect us from predictable disorder, who will?  https://www.telegraph.co.uk/politics/2020/06/08/authorities-wont-protect-us-predictable-disorder-will/ …
Very good piece from @GawainTowler",https://twitter.com/John__Tennant/status/1269969270932484097,False,8,6,2020
9,1269741650332520449,2020-06-07,21:22:54,The thugs are no better than those they protest against. Hypocrisy. https://twitter.com/BorisJohnson/status/1269724206440370178 …,https://twitter.com/John__Tennant/status/1269741650332520449,False,7,6,2020
10,1269740864173150210,2020-06-07,21:19:47,You could be right....,https://twitter.com/John__Tennant/status/1269740864173150210,False,7,6,2020
11,1267549568054579200,2020-06-01,20:12:21,"Infrapenny Infrastructure  http://futurecities.org.uk/2020/05/31/infrapenny-infrastructure/ …

We absolutely need to be much more creative and innovative than we are now. Great article",https://twitter.com/John__Tennant/status/1267549568054579200,False,1,6,2020
12,1264846266183430144,2020-05-25,09:10:24,It was an honour to be elected alongside @TheBluetrot a year ago. There must be no extension of transition! https://twitter.com/BrexitWatch5/status/1264823228364619776 …,https://twitter.com/John__Tennant/status/1264846266183430144,False,25,5,2020
13,1261937376688996352,2020-05-17,08:31:30,Extending the transition could cost up to £380bn! My former colleague @math_patten writes. https://globalvisionuk.com/extending-the-transition-could-cost-up-to-380bn-new-report-finds/ …,https://twitter.com/John__Tennant/status/1261937376688996352,False,17,5,2020
14,1261306282750902272,2020-05-15,14:43:46,Some very salient points from @BrexitAlex https://twitter.com/BrexitAlex/status/1261265472693194753 …,https://twitter.com/John__Tennant/status/1261306282750902272,False,15,5,2020
15,1260938144511397888,2020-05-14,14:20:55,Laughable! https://westmonster.com/eu-launches-legal-action-against-uk-for-breaching-free-movement-rules …,https://twitter.com/John__Tennant/status/1260938144511397888,False,14,5,2020
16,1255488772478812162,2020-04-29,13:27:03,How the tables have turned.... https://twitter.com/DrAnnaBailey1/status/1255481698927730697 …,https://twitter.com/John__Tennant/status/1255488772478812162,False,29,4,2020
17,1251060694969135104,2020-04-17,08:11:27,"Absolutely right, extending would not be in the public interest. It is written in law that we cannot extend beyond December 31st. https://twitter.com/DavidGHFrost/status/1250796638987333632 …",https://twitter.com/John__Tennant/status/1251060694969135104,False,17,4,2020
18,1250516342505160707,2020-04-15,20:08:24,"Good to hear this..

“There is concern that extending could drag the UK into the arguments about who pays for the various EU schemes designed to protect the European economy and preserve the Eurozone.” https://twitter.com/SpecCoffeeHouse/status/1250385973181067266 …",https://twitter.com/John__Tennant/status/1250516342505160707,False,15,4,2020
19,1248158228342595585,2020-04-09,07:58:05,"URGENT APPEAL: please help save Ponies cared for by Exmoor Pony Project as the coronavirus has stopped regular fundraising activities

A £2.00 donation will help ensure these beautiful animals are cared for until the lockdown is lifted, thank you https://www.justgiving.com/crowdfunding/exmoor-pony-project2019 …",https://twitter.com/John__Tennant/status/1248158228342595585,False,9,4,2020
20,1247663801694064640,2020-04-07,23:13:25,"EU Chief Scientist Resigns Over Coronavirus Response, No Longer Supports EU https://thenationalpulse.com/politics/eu-chief-scientist-resigns-coronavirus/ …",https://twitter.com/John__Tennant/status/1247663801694064640,False,7,4,2020
21,1247243052349100032,2020-04-06,19:21:30,"Awful news, this shows just how important it is we follow the advice given and my thoughts go out to everyone suffering. https://twitter.com/bbclaurak/status/1247240275791134720 …",https://twitter.com/John__Tennant/status/1247243052349100032,False,6,4,2020
22,1247191148961181697,2020-04-06,15:55:16,The EU is disintegrating before our eyes. Let's embrace the Commonwealth instead  https://www.telegraph.co.uk/politics/2020/04/06/eu-disintegrating-eyes-embrace-commonwealth-instead/?WT.mc_id=tmg_share_tw … via @Telegraph,https://twitter.com/John__Tennant/status/1247191148961181697,False,6,4,2020
23,1244937286107660288,2020-03-31,10:39:13,Some good points made by my former colleague Brian Monteith: Coronavirus is changing the way we live - but we still get to decide the future https://www.scotsman.com/news/opinion/columnists/brian-monteith-coronavirus-changing-way-we-live-we-still-get-decide-future-2521963 …,https://twitter.com/John__Tennant/status/1244937286107660288,False,31,3,2020
24,1243519241862643717,2020-03-27,12:44:25,"Wishing Boris Johnson well and a speedy recovery. To all those laughing and joking at this news, shame on you.",https://twitter.com/John__Tennant/status/1243519241862643717,False,27,3,2020
25,1226077988279726080,2020-02-08,09:39:06,They know they're in trouble https://www.telegraph.co.uk/politics/2020/02/07/panicked-eu-goes-brexit-meltdown-britain-finally-has-upper-hand/?utm_content=telegraph&utm_medium=Social&utm_campaign=Echobox&utm_source=Facebook#Echobox=1581088345 …,https://twitter.com/John__Tennant/status/1226077988279726080,False,8,2,2020
26,1225719700111417344,2020-02-07,09:55:23,"One week on from the historic day of brexit and we haven't seen our economy tank, our planes landed, our hospitals close. We've seen a positive attitude to Britain being free and independent. Now look it's happening in France too.. https://www.google.com/amp/s/www.express.co.uk/news/world/1238106/EU-news-eu-frexit-brexit-party-alexandra-phillips-emmanuel-macron-charles-henri-galloi/amp …",https://twitter.com/John__Tennant/status/1225719700111417344,False,7,2,2020
27,1223379975191105536,2020-01-31,22:58:10,"My final speech in the European Parliament - Britain is a friend of Europe, we always have and always will be.  https://youtu.be/IN27uP9jLq4  #BrexitCelebration #brexit",https://twitter.com/John__Tennant/status/1223379975191105536,False,31,1,2020
28,1210639672029913088,2019-12-27,19:12:45,EU on the brink: Brexit Party MEP warns of imminent Euro catastrophe and Brussels collapse  http://shr.gs/GRpSmmI ,https://twitter.com/John__Tennant/status/1210639672029913088,False,27,12,2019
29,1206861683131584512,2019-12-17,09:00:22,I spoke in the European Parliament this morning regarding the situation in Malta. You can watch my speech here: https://youtu.be/HpnIKDa0J7M ,https://twitter.com/John__Tennant/status/1206861683131584512,False,17,12,2019
30,1204050834830569473,2019-12-09,14:51:03,Brexit party led hartlepool council today voted for a new investment plan for our neighbourhoods as part of nearly £56m of funding for our future. This means improving our housing and heritage. The Brexit party is making a difference already!,https://twitter.com/John__Tennant/status/1204050834830569473,False,9,12,2019
31,1202916897131499520,2019-12-06,11:45:12,You can read my latest Journal article here:  http://www.johntennantmep.co.uk/2019/12/05/column-we-need-a-great-escape-from-polls-in-festive-season/ … #Brexit,https://twitter.com/John__Tennant/status/1202916897131499520,False,6,12,2019
32,1202291466023911425,2019-12-04,18:19:57,It's the EU that's not our friend when it comes to our NHS! https://www.telegraph.co.uk/politics/2019/12/04/jeremy-corbyn-late-save-nhs-has-already-sold-eu/# …,https://twitter.com/John__Tennant/status/1202291466023911425,False,4,12,2019
33,1191439396526055424,2019-11-04,19:37:42,Earlier today I spoke to BBC Radio 4. You can listen in here:  https://youtu.be/mEw0m3WeI_U  #Brexit,https://twitter.com/John__Tennant/status/1191439396526055424,False,4,11,2019
34,1188804215881244675,2019-10-28,13:06:26,"If you wake up on Friday morning and we're still in the EU then Boris has broken his promise. Lesson, don't make promises you cannot keep! Only the Brexit party is resolute in delivering a clean break brexit",https://twitter.com/John__Tennant/status/1188804215881244675,False,28,10,2019
35,1185644693562019841,2019-10-19,19:51:37,Congratulations to Hartlepool boxer Savannah Marshall on a very professional stoppage win tonight!,https://twitter.com/John__Tennant/status/1185644693562019841,False,19,10,2019
36,1185562439049457664,2019-10-19,14:24:46,"This zombie Parliament has sat for too long for any good it has been doing lately. Depart, I say, and have done with you.  In the name of God, go!

General. Election. Now.",https://twitter.com/John__Tennant/status/1185562439049457664,False,19,10,2019
37,1185553796417708034,2019-10-19,13:50:26,Letwin's wrecking amendment has passed. For all the wrong reasons but at least it makes the Boris Bad Deal less likely.,https://twitter.com/John__Tennant/status/1185553796417708034,False,19,10,2019
38,1185212947531997185,2019-10-18,15:16:01,Brexiteers are making a mistake backing Boris Johnson’s deal https://blogs.spectator.co.uk/2019/10/brexiteers-are-making-a-mistake-backing-boris-johnsons-deal/ …,https://twitter.com/John__Tennant/status/1185212947531997185,False,18,10,2019
39,1184889368273719297,2019-10-17,17:50:14,3/3. The PM said the UK would be outside the Customs Union so it could do its own trade deals - result? Although we will be outside the CU the level playing field means we shall have the same barriers that will make FTAs highly unlikely. Why then should we back him and his deal?,https://twitter.com/John__Tennant/status/1184889368273719297,False,17,10,2019
40,1184888632697610240,2019-10-17,17:47:18,2/3. The PM wrote to Donald Tusk saying that the UK would now choose to have divergence - result? The UK will eschew divergence and accept a level playing field. @nigelmp @NigelDoddsDUP @DianeDoddsMEP @SteveBakerHW,https://twitter.com/John__Tennant/status/1184888632697610240,False,17,10,2019
41,1184888175610748935,2019-10-17,17:45:29,1/3. The PM spoke to the DUP conference in Ulster and said there would be no border down the Irish Sea – result? A Border down the Irish Sea. @NigelDoddsDUP @DianeDoddsMEP @SteveBakerHW,https://twitter.com/John__Tennant/status/1184888175610748935,False,17,10,2019
42,1184811611002933248,2019-10-17,12:41:15,"Rather than accept a new EU treaty that’s bad for us or an extension and general election it would always be the latter.
I genuinely believe that a clean break and being able to be competitive is the absolute key to our economic success and we cannot do that with this new treaty.",https://twitter.com/John__Tennant/status/1184811611002933248,False,17,10,2019
43,1184808328872038400,2019-10-17,12:28:12,"This new deal is not brexit. It keeps us part of regulatory alignment for the foreseeable. This includes state aid, procurement and fisheries. Now, has anyone heard about the £39bn?  DUP aren't fooled, neither are we.",https://twitter.com/John__Tennant/status/1184808328872038400,False,17,10,2019
44,1184442883996299264,2019-10-16,12:16:04,The EU are still trying to maintain control over our own affairs! The only brexit that means brexit is a CLEAN BREAK BREXIT!! http://www.thetimes.co.uk/article/eda54fa8-f002-11e9-94c6-2c5cc7bfde9a …,https://twitter.com/John__Tennant/status/1184442883996299264,False,16,10,2019
45,1182693155285753858,2019-10-11,16:23:16,Fellow MEP colleague @BrexitAlex hits the nail on the head! https://twitter.com/BrexitAlex/status/1182692400344506368 …,https://twitter.com/John__Tennant/status/1182693155285753858,False,11,10,2019
46,1182234067816849408,2019-10-10,09:59:01,You can catch me on the latest episode of BrexBox discussing the latest Brexit news. https://youtu.be/R_KTcS5WUf0 ,https://twitter.com/John__Tennant/status/1182234067816849408,False,10,10,2019
47,1181983523885989890,2019-10-09,17:23:26,Of course we knew what we were voting for. @Nigel_Farage nails the point to a lib dem anti Democrat!! https://twitter.com/Nigel_Farage/status/1181959693012541441 …,https://twitter.com/John__Tennant/status/1181983523885989890,False,9,10,2019
48,1181590854881959936,2019-10-08,15:23:07,"""Thank God that we are leaving this political project."" 

I question incoming Commissioner Margrethe Vestager. You can watch it again here:  https://youtu.be/NJul8tXFAPA  #Brexit",https://twitter.com/John__Tennant/status/1181590854881959936,False,8,10,2019
